case_id,fit_max,smooth_points,confirm_points,slope_GPa,proof_status,proof_GPa,proof_strain,averaged_peak_GPa
hf16,0.015,11,1,138.09654287789988,found,4.58428305767746,0.035304137236642816,5.5490695573797915
hf16,0.015,11,3,138.09654287789988,found,4.58428305767746,0.035304137236642816,5.5490695573797915
hf16,0.015,11,5,138.09654287789988,found,4.58428305767746,0.035304137236642816,5.5490695573797915
hf16,0.015,21,1,138.09654287789988,found,4.591400808064428,0.035355679080041905,5.531268717999593
hf16,0.015,21,3,138.09654287789988,found,4.591400808064428,0.035355679080041905,5.531268717999593
hf16,0.015,21,5,138.09654287789988,found,4.591400808064428,0.035355679080041905,5.531268717999593
hf16,0.015,31,1,138.09654287789988,found,4.5894716434681015,0.035341709399439314,5.524788027609976
hf16,0.015,31,3,138.09654287789988,found,4.5894716434681015,0.035341709399439314,5.524788027609976
hf16,0.015,31,5,138.09654287789988,found,4.5894716434681015,0.035341709399439314,5.524788027609976
hf16,0.02,1,1,137.75647980505246,found,4.243032808012091,0.032891636670900816,5.64690051427443
hf16,0.02,1,3,137.75647980505246,found,4.608145465387912,0.03554205760131741,5.64690051427443
hf16,0.02,1,5,137.75647980505246,found,4.674222801728607,0.036021725319556185,5.64690051427443
hf16,0.02,11,1,137.75647980505246,found,4.587595441666784,0.035392881143337294,5.5490695573797915
hf16,0.02,11,3,137.75647980505246,found,4.587595441666784,0.035392881143337294,5.5490695573797915
hf16,0.02,11,5,137.75647980505246,found,4.587595441666784,0.035392881143337294,5.5490695573797915
hf16,0.02,21,1,137.75647980505246,found,4.601311564826266,0.0354924490415508,5.531268717999593
hf16,0.02,21,3,137.75647980505246,found,4.601311564826266,0.0354924490415508,5.531268717999593
hf16,0.02,21,5,137.75647980505246,found,4.601311564826266,0.0354924490415508,5.531268717999593
hf16,0.02,31,1,137.75647980505246,found,4.612180505594086,0.03557134871133912,5.524788027609976
hf16,0.02,31,3,137.75647980505246,found,4.612180505594086,0.03557134871133912,5.524788027609976
hf16,0.02,31,5,137.75647980505246,found,4.612180505594086,0.03557134871133912,5.524788027609976
hf16,0.025,1,1,137.11215272927402,found,4.5645822039459745,0.03534573672216664,5.64690051427443
hf16,0.025,1,3,137.11215272927402,found,4.593029069080539,0.03555320823047804,5.64690051427443
hf16,0.025,1,5,137.11215272927402,found,4.892291763826068,0.037735820703468814,5.64690051427443
hf16,0.025,11,1,137.11215272927402,found,4.60651437599026,0.03565156061311729,5.5490695573797915
hf16,0.025,11,3,137.11215272927402,found,4.60651437599026,0.03565156061311729,5.5490695573797915
